Name,Pass,Ikon,Epic,otherMultiResortPass,Famous,state,summit,drop,base,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total,Runs,Terrain Parks,Longest Run,Skiable Terrain,Snow Making,daysOpenLastYear,projectedDaysOpen,"Avg(daysOpenLastYear, projectedDaysOpen)",NightSkiing,Night Skiing,mi Pistes,MI Night Skiing,mi Snow Making,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,Url,adultWeekdayPriceNote,adultWeekendPriceNote,fastEightNote,snowfallNote,yearOpenNote,daysOpenNote
Powder Ridge Ski Area,0,0,0,0,0,Minnesota,790,300,500,0,0,0,0,1,0,2,3,6,15,4,,60,60,97,113,105,1,60,,,,58,45,36,48,http://www.onthesnow.com/minnesota/powder-ridge-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
Spirit Mountain,0,0,0,0,0,Minnesota,1320,700,620,0,0,0,1,1,2,1,2,7,22,3,1,175,175,100,125,112.5,1,144,,,,45,100,59,59,http://www.onthesnow.com/minnesota/spirit-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Welch Village,0,0,0,0,0,Minnesota,1060,360,700,0,0,0,0,3,1,4,2,10,50,1,0.8,125,125,114,122,118,1,100,,,,54,45,54,60,http://www.onthesnow.com/minnesota/welch-village/ski-resort.html,,,Check fast eight lift info.,,,
Wild Mountain Ski & Snowboard Area,0,0,0,0,0,Minnesota,1113,300,813,0,0,0,0,4,0,0,4,8,26,4,0.9,100,100,130,140,135,1,100,,,,47,50,55,55,http://www.onthesnow.com/minnesota/wild-mountain-ski-snowboard-area/ski-resort.html,,,,,,
Hidden Valley Ski Area,0,0,0,0,0,Missouri,2566,310,2316,0,0,0,0,2,2,0,3,7,17,0,0.1,30,30,,100,100,1,17,,,,37,26,49,49,http://www.onthesnow.com/missouri/hidden-valley-ski-area/ski-resort.html,,,,,,Check days info
Snow Creek,0,0,0,0,0,Missouri,1100,300,800,0,0,0,0,0,2,1,2,5,14,2,0.3,30,30,69,85,77,1,30,0.4,0.1,0.1,33,20,37,47,http://www.onthesnow.com/missouri/snow-creek/ski-resort.html,,,Check fast eight lift info.,,,
Big Sky Resort,1,1,0,1,1,Montana,11166,4350,7500,1,1,2,5,3,7,5,12,36,317,8,6,5800,400,144,144,144,0,,,,,46,400,127,127,http://www.onthesnow.com/montana/big-sky-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Blacktail Mountain Ski Area,0,0,0,0,0,Montana,6676,1440,5236,0,0,0,0,0,1,2,1,4,27,0,0.7,1000,0,,119,119,0,,,,,21,250,42,42,http://www.onthesnow.com/montana/blacktail-mountain-ski-area/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Bridger Bowl,1,0,0,1,0,Montana,8700,2600,6100,0,0,0,0,1,6,1,3,11,105,2,1.5,2000,100,122,133,127.5,0,,,,,64,350,63,63,http://www.onthesnow.com/montana/bridger-bowl/ski-resort.html,,,,,,
Discovery Ski Area,0,0,0,0,0,Montana,8150,2380,5770,0,0,0,0,0,5,2,1,8,74,1,1.5,2400,25,116,116,116,0,,,,,46,225,49,49,http://www.onthesnow.com/montana/discovery-ski-area/ski-resort.html,,,,,,
Great Divide,0,0,0,0,0,Montana,7330,1580,5750,0,0,0,0,0,0,5,1,6,110,6,3,1600,150,94,100,97,1,100,,9.9,3.7,78,180,48,48,http://www.onthesnow.com/montana/great-divide/ski-resort.html,,,,,,
Lost Trail - Powder Mtn,0,0,0,0,0,Montana,8200,1800,6400,0,0,0,0,0,0,5,3,8,69,2,2.5,1800,0,84,80,82,0,,,,,81,325,46,46,http://www.onthesnow.com/montana/lost-trail-powder-mtn/ski-resort.html,,,Check fast eight lift info.,,,
Maverick Mountain,0,0,0,0,0,Montana,8520,2020,6500,0,0,0,0,0,0,1,1,2,22,0,1.3,255,0,,120,120,0,,,,,83,160,39,39,http://www.onthesnow.com/montana/maverick-mountain/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Montana Snowbowl,0,0,0,0,0,Montana,7600,2600,5000,0,0,0,0,0,0,2,2,4,37,0,1.2,950,20,,127,127,1,10,,,,58,300,50,50,http://www.onthesnow.com/montana/montana-snowbowl/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Red Lodge Mountain,0,0,0,0,0,Montana,9416,2400,7016,0,0,0,2,0,1,3,1,7,70,2,2.5,1635,496,142,136,139,0,,,,,59,250,67,67,http://www.onthesnow.com/montana/red-lodge-mountain/ski-resort.html,,,,,,
Showdown Montana,0,0,0,0,0,Montana,8200,1400,6800,0,0,0,0,0,1,2,1,4,36,1,1.8,640,0,86,85,85.5,0,,,,,83,250,47,47,http://www.onthesnow.com/montana/showdown-ski-area/ski-resort.html,,,,,,
Teton Pass Ski Resort,0,0,0,0,0,Montana,7200,1010,6190,0,0,0,0,0,0,1,2,3,43,1,3,330,0,40,150,95,0,,,,,54,250,39,39,http://www.onthesnow.com/montana/teton-pass-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
Whitefish Mountain Resort,0,0,0,0,1,Montana,6817,2353,4464,0,0,0,3,2,6,0,3,14,105,4,3.3,3000,600,123,123,123,1,600,,,,72,333,81,81,http://www.onthesnow.com/montana/whitefish-mountain-resort/ski-resort.html,,,,,,
Diamond Peak,0,0,0,0,0,Nevada,8540,1840,6700,0,0,0,1,2,0,3,1,7,30,3,2.5,655,492,100,122,111,0,,,,,53,300,89,99,http://www.onthesnow.com/nevada/diamond-peak/ski-resort.html,,,Check fast eight lift info.,,,
Elko SnoBowl,0,0,0,0,0,Nevada,7000,700,6300,0,0,0,0,0,0,1,1,2,10,0,1,60,2,19,30,24.5,0,,,,,23,24,20,20,http://www.onthesnow.com/nevada/elko-snobowl/ski-resort.html,,,Check fast eight lift info.,,,
Lee Canyon,0,0,0,0,0,Nevada,11289,860,8510,0,0,0,0,2,1,0,0,3,24,1,0.3,195,50,144,150,147,0,,,,,56,161,70,70,http://www.onthesnow.com/nevada/las-vegas-ski-and-snowboard-resort/ski-resort.html,,,Check fast eight lift info.,,,
Mt. Rose - Ski Tahoe,0,0,0,0,0,Nevada,9700,1800,8260,0,0,2,0,2,2,0,2,8,65,5,2.5,1200,330,152,150,151,0,,,,,55,350,135,135,http://www.onthesnow.com/nevada/mt-rose-ski-tahoe/ski-resort.html,,,,,,
Attitash,1,0,0,1,0,New Hampshire,2350,1750,600,0,0,0,2,1,3,2,1,9,68,3,3,311,240,115,130,122.5,0,,,,,54,120,79,89,http://www.onthesnow.com/new-hampshire/attitash/ski-resort.html,,,Check fast eight lift info.,,,
Black Mountain,1,0,0,1,0,New Hampshire,2350,1100,1250,0,0,0,0,0,1,1,3,5,45,0,1.6,143,120,110,107,108.5,0,,,,,84,125,45,59,http://www.onthesnow.com/new-hampshire/black-mountain/ski-resort.html,,,,,,
Bretton Woods,0,0,0,0,1,New Hampshire,3100,1500,1600,0,0,0,4,1,1,0,3,9,63,2,2,464,427,180,180,180,1,45,,,,46,200,85,99,http://www.onthesnow.com/new-hampshire/bretton-woods/ski-resort.html,,,,,,
Cannon Mountain,0,0,0,0,0,New Hampshire,4080,2180,1900,1,0,0,1,2,3,1,3,11,97,3,2.3,285,192,124,143,133.5,0,,,,,81,160,79,79,http://www.onthesnow.com/new-hampshire/cannon-mountain/ski-resort.html,,,,,,
Cranmore Mountain Resort,0,0,0,0,0,New Hampshire,2000,1200,600,0,0,0,1,1,2,1,2,7,57,4,1,200,192,107,128,117.5,0,,,,,82,150,83,83,http://www.onthesnow.com/new-hampshire/cranmore-mountain-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Crotched Mountain,1,0,0,1,0,New Hampshire,2066,1016,1050,0,0,0,1,1,1,1,1,5,25,3,1.2,100,100,105,100,102.5,1,100,,,,16,105,55,69,http://www.onthesnow.com/new-hampshire/crotched-mountain/ski-resort.html,,,,,,
Dartmouth Skiway,1,0,0,1,0,New Hampshire,1943,969,974,0,0,0,0,1,0,1,2,4,28,1,1.1,107,54,104,105,104.5,0,,,,,63,100,50,50,http://www.onthesnow.com/new-hampshire/dartmouth-skiway/ski-resort.html,,,,,,
Gunstock,0,0,0,0,0,New Hampshire,2300,1400,900,0,0,0,1,2,2,0,1,6,55,4,1.5,227,176,106,,106,1,60,,,,82,120,80,92,http://www.onthesnow.com/new-hampshire/gunstock/ski-resort.html,,,Check fast eight lift info.,,,Check days info
King Pine,0,0,0,0,0,New Hampshire,850,350,500,0,0,0,0,0,3,0,3,6,17,2,0.3,48,45,105,107,106,1,23,,,,57,120,42,58,http://www.onthesnow.com/new-hampshire/king-pine/ski-resort.html,,,Check fast eight lift info.,,,
Loon Mountain,1,1,0,0,0,New Hampshire,3050,2100,950,1,0,0,3,1,1,3,2,11,61,6,2.5,370,322,149,144,146.5,0,,,,,53,160,98,98,http://www.onthesnow.com/new-hampshire/loon-mountain/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Mount Sunapee,1,0,1,0,0,New Hampshire,2743,1510,1233,0,0,0,2,1,2,1,4,10,66,4,0.8,232,215,130,136,133,0,,,,,71,100,83,93,http://www.onthesnow.com/new-hampshire/mount-sunapee/ski-resort.html,,,Check fast eight lift info.,,,
Pats Peak,0,0,0,0,0,New Hampshire,1460,770,690,0,0,0,0,0,4,2,5,11,28,3,1.5,115,115,109,112,110.5,1,93,,,,56,100,58,72,http://www.onthesnow.com/new-hampshire/pats-peak/ski-resort.html,,,Check fast eight lift info.,,,
Ragged Mountain Resort,0,0,0,0,0,New Hampshire,2250,1250,1000,0,0,1,1,0,1,0,3,6,57,3,0.7,250,200,,140,140,0,,,,,54,100,74,84,http://www.onthesnow.com/new-hampshire/ragged-mountain-resort/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Waterville Valley,0,0,0,0,0,New Hampshire,4004,2020,1984,0,0,0,2,0,2,3,4,11,62,4,1.9,265,220,142,142,142,0,,,,,54,148,79,93,http://www.onthesnow.com/new-hampshire/waterville-valley/ski-resort.html,,,Check fast eight lift info.,,,
Whaleback Mountain,1,0,0,1,0,New Hampshire,1800,700,1100,0,0,0,0,0,0,1,3,4,30,1,1,85,60,105,105,105,1,55,,,,64,110,30,45,http://www.onthesnow.com/new-hampshire/whaleback-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Wildcat Mountain,1,0,0,1,1,New Hampshire,4062,2112,1950,0,0,0,1,0,3,0,1,5,48,0,2.8,225,200,156,150,153,0,,,,,61,200,79,89,http://www.onthesnow.com/new-hampshire/wildcat-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Campgaw Mountain,0,0,0,0,0,New Jersey,726,274,450,0,0,0,0,0,0,2,3,5,12,1,0.3,23,23,80,,80,1,14,,,,58,45,26,39,http://www.onthesnow.com/new-jersey/campgaw-mountain/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,Check days info
Mountain Creek Resort,0,0,0,0,0,New Jersey,1480,1040,440,1,0,0,2,2,1,1,3,10,46,3,2,167,167,90,100,95,1,167,,,,54,65,79.99,79.99,http://www.onthesnow.com/new-jersey/mountain-creek-resort/ski-resort.html,,,Check fast eight lift info.,,,
Angel Fire Resort,1,0,0,1,0,New Mexico,10677,2077,8600,0,0,0,2,0,0,3,2,7,81,3,3,560,230,101,101,101,1,50,,,,53,210,77,77,http://www.onthesnow.com/new-mexico/angel-fire-resort/ski-resort.html,,,,,,
Enchanted Forest Ski Area,0,0,0,0,0,New Mexico,10078,400,9820,0,0,0,0,0,0,0,0,0,33,0,2.5,600,0,130,140,135,0,,,,,34,240,20,20,http://www.onthesnow.com/new-mexico/enchanted-forest-cross-countryski-area/ski-resort.html,,,Check fast eight lift info.,,,
Pajarito Mountain Ski Area,1,0,0,1,0,New Mexico,10441,1410,9031,0,0,0,0,1,1,3,1,6,45,2,0.6,750,35,89,117,103,0,,,,,62,163,49,49,http://www.onthesnow.com/new-mexico/pajarito-mountain-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
Red River,0,0,0,0,0,New Mexico,10350,1600,8750,0,0,0,0,1,3,1,2,7,63,3,2.5,209,0,110,,110,0,,,,,60,214,79,79,http://www.onthesnow.com/new-mexico/red-river/ski-resort.html,,,,,,Check days info
Sandia Peak,0,0,0,0,0,New Mexico,10378,1700,8678,0,0,0,0,0,0,4,1,5,39,1,2,200,30,32,38,35,0,,,,,82,100,55,55,http://www.onthesnow.com/new-mexico/sandia-peak/ski-resort.html,,,Check fast eight lift info.,,,
Sipapu Ski Resort,1,0,0,1,0,New Mexico,9255,1055,8200,0,0,0,0,1,2,0,3,6,42,4,0.5,200,140,127,143,135,0,,,,,67,190,47,47,http://www.onthesnow.com/new-mexico/sipapu-ski-and-summer-resort/ski-resort.html,,,Check fast eight lift info.,,,
Ski Apache,0,0,0,0,0,New Mexico,11500,1900,9600,1,0,0,0,2,6,0,2,11,55,3,2,750,270,133,124,128.5,0,,,,,58,185,74,74,http://www.onthesnow.com/new-mexico/ski-apache/ski-resort.html,,,Check fast eight lift info.,,,
Ski Santa Fe,0,0,0,0,0,New Mexico,12075,1725,10350,0,0,0,0,1,2,2,2,7,83,1,3,660,275,107,130,118.5,0,,,,,73,225,80,80,http://www.onthesnow.com/new-mexico/ski-santa-fe/ski-resort.html,,,,,,
Taos Ski Valley,1,1,0,1,1,New Mexico,12481,3281,9200,1,0,0,1,3,4,1,4,14,111,1,5,1294,647,137,136,136.5,0,,,,13,64,300,110,110,http://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort.html,,,,,,
Belleayre,0,0,0,0,0,New York,3429,1404,2025,1,0,0,1,1,1,2,2,8,50,2,2.2,175,168,154,150,152,0,,,,,70,130,60,72,http://www.onthesnow.com/new-york/belleayre/ski-resort.html,,,,,,
Brantling Ski Slopes,0,0,0,0,0,New York,850,250,600,0,0,0,0,0,0,0,5,5,10,0,0.1,20,16,,101,101,0,,,,,19,110,32,32,http://www.onthesnow.com/new-york/brantling-ski-slopes/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Bristol Mountain,0,0,0,0,0,New York,2200,1200,1000,0,0,0,2,1,1,1,1,6,34,3,2,160,148,129,129,129,1,154,,,,55,60,65,76,http://www.onthesnow.com/new-york/bristol-mountain/ski-resort.html,,,,,,
Buffalo Ski Club Ski Area,0,0,0,0,0,New York,3429,500,2025,0,0,0,0,0,0,2,4,6,43,1,,225,150,,79,79,1,100,,,,12,,35,50,http://www.onthesnow.com/new-york/buffalo-ski-club-ski-area/ski-resort.html,,,,Check snowfall info.,,Check days info
Catamount,0,0,0,0,0,New York,2000,1000,1000,0,0,0,0,1,1,2,3,7,36,5,2,133,130,100,90,95,1,55,,4.3,8.7,80,108,38,69,http://www.onthesnow.com/new-york/catamount-ski-ride-area/ski-resort.html,,,Check fast eight lift info.,,,
Dry Hill Ski Area,0,0,0,0,0,New York,950,300,650,0,0,0,0,0,0,1,2,3,7,1,0.2,35,26,,108,108,1,26,,,,55,125,20,35,http://www.onthesnow.com/new-york/dry-hill-ski-area/ski-resort.html,Check adult weekday price info.,,Check fast eight lift info.,,,Check days info
Gore Mountain,0,0,0,0,0,New York,3600,2537,998,1,0,0,2,2,3,2,4,14,110,7,4.5,439,338,142,,142,1,15,41.3,0.2,29.8,55,150,80,88,http://www.onthesnow.com/new-york/gore-mountain/ski-resort.html,,,,,,Check days info
Greek Peak,0,0,0,0,0,New York,2100,952,1148,0,0,0,0,1,1,4,2,8,56,4,1.5,220,184,110,113,111.5,1,175,,,,62,122,49,63.2,http://www.onthesnow.com/new-york/greek-peak/ski-resort.html,,,,,,
Holiday Mountain,0,0,0,0,0,New York,1550,400,1150,0,0,0,0,1,0,1,2,4,9,0,0.4,37,37,75,85,80,1,37,,,,60,50,27,42,http://www.onthesnow.com/new-york/holiday-mountain/ski-resort.html,,,,,,
Holiday Valley,0,0,0,0,0,New York,2250,750,1500,0,0,0,3,8,0,0,2,13,60,5,1,290,266,116,129,122.5,1,189,,,,62,180,65,78,http://www.onthesnow.com/new-york/holiday-valley/ski-resort.html,,,Check fast eight lift info.,,,
Holimont Ski Area,0,0,0,0,0,New York,2260,700,1560,0,0,0,1,1,2,3,1,8,53,3,1.5,135,135,110,119,114.5,0,,,,,57,180,62,75,http://www.onthesnow.com/new-york/holimont-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
Hunt Hollow Ski Club,0,0,0,0,0,New York,2030,825,1000,0,0,0,0,0,1,1,1,3,19,1,1,400,400,,75,75,1,400,,,,52,130,48,58,http://www.onthesnow.com/new-york/hunt-hollow-ski-club/ski-resort.html,,,,,,Check days info
Hunter Mountain,1,0,0,1,0,New York,3200,1600,1600,0,0,2,1,2,2,2,4,13,67,4,2,320,320,148,155,151.5,0,,,,,59,120,79,89,http://www.onthesnow.com/new-york/hunter-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Kissing Bridge,0,0,0,0,0,New York,1700,550,1150,0,0,0,0,2,1,4,3,10,39,5,0.5,700,550,103,100,101.5,1,650,,,,59,120,40,60,http://www.onthesnow.com/new-york/kissing-bridge/ski-resort.html,,,Check fast eight lift info.,,,
Labrador Mt.,0,0,0,0,0,New York,1825,700,1125,0,0,0,0,0,1,2,1,4,23,1,1,250,237,,100,100,1,180,,,,62,125,59,59,http://www.onthesnow.com/new-york/labrador-mt/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Maple Ski Ridge,0,0,0,0,0,New York,1200,450,750,0,0,0,0,0,1,1,1,3,10,0,0.3,25,25,,69,69,1,20,,,,57,,26,38,http://www.onthesnow.com/new-york/maple-ski-ridge/ski-resort.html,,,,Check snowfall info.,,Check days info
McCauley Mountain Ski Center,0,0,0,0,0,New York,2250,633,1563,0,0,0,0,0,0,1,4,5,23,1,0.3,70,55,105,105,105,0,,,,,61,200,20,30,http://www.onthesnow.com/new-york/mccauley-mountain-ski-center/ski-resort.html,,,,,,
Mount Peter Ski Area,0,0,0,0,0,New York,1250,450,750,0,0,0,0,1,0,2,2,5,14,1,1,69,69,100,100,100,1,69,,,,83,50,35,54,http://www.onthesnow.com/new-york/mount-peter-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
Oak Mountain,0,0,0,0,0,New York,2400,650,1750,0,0,0,0,1,0,0,3,4,22,1,1.2,46,18,,106,106,1,12,,,,71,120,40,40,http://www.onthesnow.com/new-york/oak-mountain/ski-resort.html,,,,,,Check days info
Peek'n Peak,0,0,0,0,0,New York,1800,400,1400,0,0,0,0,0,8,0,2,10,27,4,2.4,110,110,110,,110,1,110,,,,55,225,49,63,http://www.onthesnow.com/new-york/peekn-peak/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Plattekill Mountain,1,0,0,1,0,New York,3500,1100,2400,0,0,0,0,0,1,1,2,4,38,1,2,110,75,65,65,65,0,,1.2,,,26,175,50,67,http://www.onthesnow.com/new-york/plattekill-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Royal Mountain Ski Area,0,0,0,0,0,New York,1800,550,1250,0,0,0,0,0,0,3,0,3,14,0,0.3,35,28,,127,127,0,,,,,63,90,45,45,http://www.onthesnow.com/new-york/royal-mountain-ski-area/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Snow Ridge,0,0,0,0,0,New York,2000,650,1350,0,0,0,0,0,0,4,2,6,21,2,0.8,130,65,73,100,86.5,1,40,,,,74,230,38,48,http://www.onthesnow.com/new-york/snow-ridge/ski-resort.html,,,Check fast eight lift info.,,,
Song Mountain,0,0,0,0,0,New York,1940,700,1240,0,0,0,0,0,1,1,3,5,24,0,0.4,93,70,90,122,106,1,70,,,,55,125,59,59,http://www.onthesnow.com/new-york/song-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Swain,0,0,0,0,0,New York,1970,650,1320,0,0,0,0,3,0,1,1,5,35,3,1,130,90,102,100,101,1,80,,,,72,120,49,59,http://www.onthesnow.com/new-york/swain/ski-resort.html,,,Check fast eight lift info.,,,
Thunder Ridge,0,0,0,0,0,New York,1270,500,770,0,0,0,0,0,1,2,3,6,30,0,0.4,100,100,121,121,121,1,100,,,,60,,30,57,http://www.onthesnow.com/new-york/thunder-ridge/ski-resort.html,Check adult weekday price info.,,Check fast eight lift info.,Check snowfall info.,,
Titus Mountain,0,0,0,0,0,New York,2025,1200,825,0,0,0,0,0,2,6,2,10,50,3,2,200,150,101,100,100.5,1,70,,8.1,11.2,59,150,39,49,http://www.onthesnow.com/new-york/titus-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Toggenburg Mountain,0,0,0,0,0,New York,2000,700,1300,0,0,0,0,0,1,1,3,5,22,2,0.4,85,0,,122,122,1,73,,,,66,130,55,55,http://www.onthesnow.com/new-york/toggenburg-mountain/ski-resort.html,,,Check fast eight lift info.,,,Check days info
West Mountain,0,0,0,0,0,New York,1470,1010,460,0,0,0,0,0,1,2,2,5,29,1,0.6,124,105,,120,120,1,105,,,,58,80,49,59,http://www.onthesnow.com/new-york/west-mountain/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Whiteface Mountain Resort,0,0,0,0,0,New York,4650,3430,1220,1,0,0,1,1,2,5,2,12,86,5,2.1,288,220,122,141,131.5,0,,,,,61,168,96,96,http://www.onthesnow.com/new-york/whiteface-mountain-resort/ski-resort.html,,,,,,
Willard Mountain,0,0,0,0,0,New York,1415,505,910,0,0,0,0,0,0,2,3,5,16,0,0.4,50,35,85,120,102.5,1,35,,,,19,80,46,46,http://www.onthesnow.com/new-york/willard-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Windham Mountain,0,0,0,0,0,New York,3100,1600,1500,0,0,1,2,0,3,1,5,12,54,6,2,285,280,123,130,126.5,1,56,12,,,59,105,85,95,http://www.onthesnow.com/new-york/windham-mountain/ski-resort.html,,,,,,
Woods Valley Ski Area,0,0,0,0,0,New York,1400,500,900,0,0,0,0,0,0,2,4,6,21,0,0.3,25,16,,128,128,1,15,,,,55,180,31,39,http://www.onthesnow.com/new-york/woods-valley-ski-area/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Appalachian Ski Mountain,0,0,0,0,0,North Carolina,4000,365,3635,0,0,0,0,2,0,1,2,5,12,3,0.5,27,27,100,100,100,1,27,,,,57,50,40,64,http://www.onthesnow.com/north-carolina/appalachian-ski-mtn/ski-resort.html,,,,,,
Cataloochee Ski Area,0,0,0,0,0,North Carolina,5400,740,4660,0,0,0,0,1,1,1,2,5,18,2,1,50,50,141,108,124.5,1,50,,9.9,0.6,58,50,43,70,http://www.onthesnow.com/north-carolina/cataloochee-ski-area/ski-resort.html,,,,,,
Sapphire Valley,0,0,0,0,0,North Carolina,3450,200,3200,0,0,0,0,1,0,0,2,3,2,1,1,8,8,53,60,56.5,1,8,0.4,,,55,24,40,43,http://www.onthesnow.com/north-carolina/sapphire-valley/ski-resort.html,,,Check fast eight lift info.,,,
Beech Mountain Resort,0,0,0,0,0,North Carolina,5506,830,4675,0,0,0,0,3,0,3,2,8,17,1,1,95,95,98,,98,1,95,,,,52,31,41,68,http://www.onthesnow.com/north-carolina/ski-beech-mountain-resort/ski-resort.html,,,,,,Check days info
Sugar Mountain Resort,0,0,0,0,0,North Carolina,5300,1200,4100,0,0,1,0,0,1,4,2,8,21,1,1.5,125,125,114,120,117,1,95,,,,50,77,45,75,http://www.onthesnow.com/north-carolina/sugar-mountain-resort/ski-resort.html,,,,,,
Wolf Ridge Ski Resort,0,0,0,0,0,North Carolina,4700,720,4000,0,0,0,0,1,0,1,2,4,15,1,0.6,65,65,,100,100,1,60,,,,49,65,42,65,http://www.onthesnow.com/north-carolina/wolf-ridge-ski-resort/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Alpine Valley,1,0,0,1,0,Ohio,1500,230,1260,0,0,0,0,1,2,1,1,5,11,1,0.2,72,72,105,,105,1,72,,,,53,120,43,43,http://www.onthesnow.com/ohio/alpine-valley/ski-resort.html,,,,,,Check days info
Boston Mills,1,0,0,1,0,Ohio,871,264,631,0,0,0,0,0,4,2,2,8,7,2,0.3,40,40,92,110,101,1,40,,,,56,51,44,44,http://www.onthesnow.com/ohio/boston-mills/ski-resort.html,,,Check fast eight lift info.,,,
Brandywine,1,0,0,1,0,Ohio,871,240,631,0,0,0,0,2,7,2,5,16,11,2,0.3,85,85,92,110,101,1,85,,,,56,51,44,44,http://www.onthesnow.com/ohio/brandywine/ski-resort.html,,,Check fast eight lift info.,,,
Mad River Mountain,1,0,0,1,0,Ohio,1460,300,1160,0,0,0,0,1,2,3,6,12,20,4,0.5,144,144,99,90,94.5,1,144,,,,57,36,39,44,http://www.onthesnow.com/ohio/mad-river-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Snow Trails,0,0,0,0,0,Ohio,1475,301,1174,0,0,0,0,0,4,2,3,9,17,3,0.2,80,80,101,70,85.5,1,80,,,,58,50,41,52,http://www.onthesnow.com/ohio/snow-trails/ski-resort.html,,,Check fast eight lift info.,,,
Anthony Lakes Mountain Resort,0,0,0,0,0,Oregon,8000,900,7100,0,0,0,0,0,1,0,2,3,21,2,1.5,1100,0,75,80,77.5,0,,,,,56,300,40,40,http://www.onthesnow.com/oregon/anthony-lakes-mountain-resort/ski-resort.html,,,,,,
Cooper Spur,0,0,0,0,0,Oregon,4000,350,3500,0,0,0,0,0,0,1,1,2,10,0,0.1,50,0,78,90,84,0,,,,,66,100,39,39,http://www.onthesnow.com/oregon/cooper-spur/ski-resort.html,,,Check fast eight lift info.,,,
Hoodoo Ski Area,0,0,0,0,0,Oregon,5703,1035,4668,0,0,0,0,3,1,1,0,5,34,0,0.4,806,0,80,108,94,1,200,,,,81,350,59,59,http://www.onthesnow.com/oregon/hoodoo-ski-area/ski-resort.html,,,,,,
Mt. Ashland,0,0,0,0,0,Oregon,7533,1150,6383,0,0,0,0,0,2,2,1,5,23,2,1,220,0,94,92,93,1,40,,,,55,300,45,52,http://www.onthesnow.com/oregon/mount-ashland/ski-resort.html,,,,,,
Mt. Bachelor,0,0,0,0,0,Oregon,9065,3365,5700,0,0,0,8,0,3,0,0,11,101,5,4,4318,20,185,185,185,0,,,,2.5,61,462,99,99,http://www.onthesnow.com/oregon/mt-bachelor/ski-resort.html,,,,,,
Mt. Hood Meadows,0,0,0,0,0,Oregon,7300,2777,4523,0,0,0,6,0,0,5,2,13,85,6,3,2150,0,118,160,139,1,170,,,,51,430,49,69,http://www.onthesnow.com/oregon/mt-hood-meadows/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Mt. Hood Skibowl,1,0,0,1,0,Oregon,5100,1500,3600,0,0,0,0,0,0,4,5,9,65,2,3,960,29,125,144,134.5,1,317,,,,82,300,70,70,http://www.onthesnow.com/oregon/mt-hood-ski-bowl/ski-resort.html,,,Check fast eight lift info.,,,
Spout Springs,0,0,0,0,0,Oregon,5500,610,4850,0,0,0,0,0,0,2,2,4,14,0,0.1,200,0,117,125,121,1,100,,,,19,118,,,http://www.onthesnow.com/oregon/spout-springs/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Timberline Lodge,1,0,0,1,0,Oregon,8540,3690,6000,0,0,0,5,0,1,1,1,8,41,5,2,1415,0,305,305,305,1,300,,,,82,550,73,73,http://www.onthesnow.com/oregon/timberline-lodge/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Willamette Pass,0,0,0,0,0,Oregon,6683,1563,5120,0,0,1,0,0,3,0,1,5,29,0,2.1,555,60,3,100,51.5,0,,,,,78,430,60,60,http://www.onthesnow.com/oregon/willamette-pass/ski-resort.html,,,,,,
