Name,Pass,Ikon,Epic,otherMultiResortPass,Famous,state,summit,drop,base,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total,Runs,Terrain Parks,Longest Run,Skiable Terrain,Snow Making,daysOpenLastYear,projectedDaysOpen,"Avg(daysOpenLastYear, projectedDaysOpen)",NightSkiing,Night Skiing,mi Pistes,MI Night Skiing,mi Snow Making,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,Url,adultWeekdayPriceNote,adultWeekendPriceNote,fastEightNote,snowfallNote,yearOpenNote,daysOpenNote
Pomerelle Mountain Resort,0,0,0,0,0,Idaho,9000,1000,8000,0,0,0,0,0,1,1,1,3,24,2,1.5,500,50,138,138,138,1,100,,,,56,500,45,45,http://www.onthesnow.com/idaho/pomerelle-mountain-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Schweitzer,1,0,0,1,0,Idaho,6400,2400,4000,0,0,1,2,0,1,3,2,9,92,3,2.1,2900,47,136,,136,1,100,,,,56,300,81,81,http://www.onthesnow.com/idaho/schweitzer/ski-resort.html,,,,,,Check days info
Silver Mountain,0,0,0,0,0,Idaho,6300,2200,4100,1,0,0,0,1,2,2,1,7,80,2,2.5,1600,225,130,193,161.5,1,20,,,,29,300,57,62,http://www.onthesnow.com/idaho/silver-mountain/ski-resort.html,,,,,,
Soldier Mountain Ski Area,0,0,0,0,0,Idaho,7200,1400,5800,0,0,0,0,0,0,2,1,3,36,0,0.4,1142,0,60,,60,0,,,,,71,,43,43,http://www.onthesnow.com/idaho/soldier-mountain-ski-area/ski-resort.html,,,Check fast eight lift info.,Check snowfall info.,,Check days info
Sun Valley,1,0,0,1,0,Idaho,9150,3400,5750,1,0,0,9,0,3,2,3,18,120,7,3,2054,645,149,137,143,0,,,,,83,220,87,88,http://www.onthesnow.com/idaho/sun-valley/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Tamarack Resort,0,0,0,0,0,Idaho,7700,2800,4900,0,0,0,2,2,0,0,2,6,48,3,1.5,1020,200,,150,150,0,,,,,15,300,71,71,http://www.onthesnow.com/idaho/tamarack-resort/ski-resort.html,,,,,,Check days info
Chestnut Mountain Resort,0,0,0,0,0,Illinois,1040,475,565,0,0,0,0,2,4,0,3,9,22,3,0.2,139,139,87,112,99.5,1,139,,,,60,50,40,55,http://www.onthesnow.com/illinois/chestnut-mountain-resort/ski-resort.html,,,Check fast eight lift info.,,,
Four Lakes,0,0,0,0,0,Illinois,500,100,400,0,0,0,0,0,0,0,7,7,7,1,0.1,9,9,78,70,74,1,9,,,,58,24,23,28,http://www.onthesnow.com/illinois/four-lakes/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Ski Snowstar Winter Sports Park,0,0,0,0,0,Illinois,790,262,528,0,0,0,0,2,0,2,2,6,15,1,0.8,28,28,56,86,71,1,28,,,,38,38,25,35,http://www.onthesnow.com/illinois/ski-snowstar-winter-sports-park/ski-resort.html,,,Check fast eight lift info.,,,
Villa Olivia,0,0,0,0,0,Illinois,500,180,320,0,0,0,0,1,0,0,6,7,7,1,0.1,15,15,,70,70,1,15,,,,53,25,40,40,http://www.onthesnow.com/illinois/villa-olivia/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Paoli Peaks,0,0,0,0,0,Indiana,900,300,600,0,0,0,1,1,3,1,2,8,15,2,0.4,65,65,75,80,77.5,1,65,,,,41,18,38,45,http://www.onthesnow.com/indiana/paoli-peaks/ski-resort.html,,,,,,
Perfect North Slopes,0,0,0,0,0,Indiana,800,400,400,0,0,0,0,2,3,0,6,11,23,2,1,100,100,82,90,86,1,100,,,,39,24,52,52,http://www.onthesnow.com/indiana/perfect-north-slopes/ski-resort.html,,,Check fast eight lift info.,,,
Mt. Crescent Ski Area,0,0,0,0,0,Iowa,1500,300,1200,0,0,0,0,1,0,1,0,2,11,1,0.2,50,50,,90,90,1,50,,,,58,30,29,39,http://www.onthesnow.com/iowa/mt-crescent-ski-area/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Seven Oaks,0,0,0,0,0,Iowa,975,275,800,0,0,0,0,0,2,0,2,4,11,2,1,35,35,100,100,100,1,35,,,,22,40,40,40,http://www.onthesnow.com/iowa/seven-oaks/ski-resort.html,,,,,,
Sundown Mountain,0,0,0,0,0,Iowa,1059,475,584,0,0,0,0,1,1,2,2,6,21,2,0.6,55,55,,98,98,1,55,,,,46,45,38,46,http://www.onthesnow.com/iowa/sundown-mountain/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Big Squaw Mountain Ski Resort,0,0,0,0,0,Maine,3200,660,1750,0,0,0,0,0,1,0,0,1,29,0,0.8,,0,67,58,62.5,0,,,,,6,,30,30,http://www.onthesnow.com/maine/big-squaw-mountain-ski-resort/ski-resort.html,,,Check fast eight lift info.,Check snowfall info.,,
Camden Snow Bowl,0,0,0,0,0,Maine,1080,850,150,0,0,0,0,0,1,1,1,3,26,2,1,100,48,68,70,69,1,48,,,,83,69,33,43,http://www.onthesnow.com/maine/camden-snow-bowl/ski-resort.html,,,Check fast eight lift info.,,,
Lost Valley,1,0,0,1,0,Maine,495,240,255,0,0,0,0,0,0,2,2,4,22,2,0.3,45,45,87,104,95.5,1,45,,,,58,50,29,55,http://www.onthesnow.com/maine/lost-valley/ski-resort.html,,,Check fast eight lift info.,,,
Mt. Abram Ski Resort,0,0,0,0,0,Maine,2250,1150,1050,0,0,0,0,0,0,2,3,5,54,1,0.5,640,175,120,120,120,0,,,,,59,125,29,49,http://www.onthesnow.com/maine/mt-abram-ski-resort/ski-resort.html,,,,,,
Mt. Jefferson,0,0,0,0,0,Maine,753,432,351,0,0,0,0,0,0,0,3,3,10,0,0.3,12,0,,95,95,0,,,,,19,,25,25,http://www.onthesnow.com/maine/mt-jefferson/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,Check snowfall info.,,Check days info
New Hermon Mountain,0,0,0,0,0,Maine,450,350,100,0,0,0,0,0,0,1,2,3,20,0,1.9,70,70,102,117,109.5,1,45,,,,55,90,32,32,http://www.onthesnow.com/maine/new-hermon-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Shawnee Peak,0,0,0,0,0,Maine,1900,1350,600,0,0,0,0,1,2,1,2,6,43,3,0.8,239,234,97,103,100,1,110,,,,81,110,55,75,http://www.onthesnow.com/maine/shawnee-peak/ski-resort.html,,,Check fast eight lift info.,,,
